,i_sensor_1,i_sensor_2,i_sensor_3,o_left,o_right,i_sensor_4,i_sensor_5
0,600,61,87,False,False,88.0,75.0
0,600,65,87,False,False,100.0,76.0
0,600,65,87,False,False,100.0,76.0
0,600,65,87,False,False,57.0,76.0
0,600,65,88,False,False,57.0,76.0
0,600,65,87,False,False,57.0,76.0
0,600,65,84,False,False,57.0,76.0
0,600,65,83,False,False,57.0,77.0
0,600,65,83,False,False,57.0,77.0
0,600,65,82,False,False,57.0,77.0
0,600,62,78,False,True,58.0,77.0
0,600,75,74,False,True,59.0,77.0
0,600,75,73,False,False,60.0,76.0
0,600,77,71,False,False,61.0,75.0
0,600,78,69,False,False,62.0,73.0
0,600,80,68,False,False,63.0,70.0
0,600,76,69,True,False,63.0,66.0
0,600,76,69,False,False,64.0,66.0
0,600,77,68,False,False,64.0,64.0
0,600,77,68,False,False,65.0,64.0
0,600,73,69,True,False,65.0,62.0
0,600,68,69,False,False,65.0,62.0
0,600,73,70,False,False,65.0,62.0
0,600,73,68,False,False,65.0,62.0
0,600,73,68,False,False,65.0,61.0
0,600,73,68,False,False,65.0,61.0
0,600,73,67,False,False,65.0,61.0
0,600,73,67,False,False,65.0,61.0
0,600,73,67,False,False,65.0,60.0
0,600,73,67,False,False,65.0,60.0
0,600,73,67,False,False,65.0,60.0
0,600,73,67,False,False,65.0,60.0
0,600,63,67,False,False,65.0,59.0
0,600,73,67,False,False,65.0,59.0
0,600,73,67,False,False,65.0,59.0
0,600,73,67,False,False,65.0,59.0
0,600,73,67,False,False,65.0,59.0
0,600,73,67,False,False,65.0,59.0
0,600,73,67,False,False,65.0,59.0
0,600,73,67,False,False,65.0,59.0
0,600,75,67,False,False,65.0,59.0
0,600,78,67,False,False,65.0,59.0
0,600,71,67,False,False,65.0,59.0
0,600,77,68,False,False,65.0,59.0
0,600,77,68,False,False,65.0,59.0
0,600,77,68,False,False,65.0,59.0
0,600,77,68,False,False,66.0,59.0
0,600,77,68,False,False,66.0,59.0
0,600,78,68,False,False,67.0,60.0
0,600,78,69,False,False,68.0,60.0
0,600,78,69,False,False,68.0,60.0
0,600,78,69,False,False,68.0,60.0
0,600,78,69,False,False,68.0,60.0
0,600,68,69,False,False,68.0,60.0
0,600,77,69,False,False,69.0,60.0
0,600,77,69,False,False,69.0,61.0
0,600,77,68,False,False,69.0,61.0
0,600,76,67,False,False,69.0,61.0
0,600,76,68,False,False,69.0,61.0
0,600,76,66,False,False,69.0,61.0
0,600,75,66,False,False,68.0,61.0
0,600,75,66,False,False,68.0,60.0
0,600,75,65,False,False,68.0,59.0
0,600,73,65,False,False,67.0,59.0
0,600,63,64,False,False,67.0,58.0
0,600,73,63,False,False,67.0,58.0
0,600,73,63,False,False,67.0,58.0
0,600,73,64,False,False,66.0,57.0
0,600,73,64,False,False,66.0,57.0
0,600,73,61,False,False,65.0,57.0
0,600,73,62,False,False,64.0,56.0
0,600,73,60,False,False,64.0,56.0
0,600,73,60,False,False,64.0,56.0
0,600,73,60,False,False,64.0,55.0
0,600,71,60,False,False,64.0,54.0
0,600,73,60,False,False,64.0,54.0
0,600,73,60,False,False,64.0,53.0
0,600,73,61,False,False,64.0,53.0
0,600,73,61,False,False,64.0,53.0
0,600,73,61,False,False,64.0,53.0
0,600,73,62,False,False,64.0,53.0
0,600,73,63,False,False,64.0,53.0
0,600,73,63,False,False,64.0,54.0
0,600,73,63,False,False,64.0,54.0
0,600,73,63,False,False,64.0,54.0
0,600,68,65,False,False,64.0,55.0
0,600,73,65,False,False,64.0,55.0
0,600,75,66,False,False,64.0,56.0
0,600,73,67,False,False,64.0,56.0
0,294,73,67,False,False,64.0,56.0
0,288,73,67,False,False,64.0,57.0
0,282,73,67,False,False,64.0,57.0
0,276,73,67,False,False,64.0,57.0
0,270,73,67,False,False,65.0,58.0
0,264,73,67,False,False,65.0,59.0
0,258,73,67,False,False,65.0,59.0
0,252,63,67,False,False,65.0,59.0
0,246,73,67,False,False,65.0,59.0
0,240,73,67,False,False,65.0,59.0
0,234,73,67,False,False,65.0,59.0
0,228,71,67,False,False,65.0,59.0
0,222,70,68,False,False,65.0,59.0
0,216,70,68,False,False,64.0,59.0
0,210,70,68,False,False,64.0,59.0
0,204,70,68,False,False,64.0,59.0
0,198,70,68,False,False,64.0,59.0
0,192,70,68,False,False,63.0,59.0
0,186,60,68,False,False,62.0,60.0
0,180,72,68,False,False,62.0,60.0
0,174,78,70,False,False,62.0,60.0
0,168,100,70,False,False,62.0,60.0
0,162,100,70,False,False,62.0,60.0
0,156,90,70,False,False,62.0,60.0
0,150,200,70,False,False,62.0,60.0
0,144,200,70,False,False,63.0,61.0
0,138,200,70,False,False,65.0,62.0
0,132,200,72,False,False,68.0,62.0
0,126,200,69,False,False,74.0,62.0
0,120,200,72,True,False,73.0,63.0
0,121,200,79,True,False,73.0,64.0
0,120,200,87,True,False,72.0,66.0
0,116,200,89,False,False,81.0,67.0
0,108,200,88,False,False,98.0,68.0
0,109,200,92,True,False,92.0,72.0
0,109,200,90,True,False,87.0,77.0
0,109,200,85,True,False,85.0,82.0
0,108,200,81,True,False,83.0,85.0
